Codigo;Marca;Modelo;ClasAmbiental;Combustible;FechaInicio;Fecha
1343826;CITROEN;C4 PICASSO;C;DIESEL;04/08/2014;25/11/2018
1507928;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;14/03/2018;25/11/2018
1473230;CITROEN;CITROEN GC4 PICASSO;C;DIESEL;18/05/2017;25/11/2018
1486050;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;13/12/2017;25/11/2018
1418796;CITROEN;CITROEN JUMPY;B;DIESEL;16/02/2016;25/11/2018
1474548;CITROEN;CITROEN C-ELYSEE;C;DIESEL;09/06/2017;25/11/2018
1508085;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;14/03/2018;25/11/2018
1470361;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;19/04/2017;25/11/2018
1426975;CITROEN;CITROEN GC4 PICASSO;C;DIESEL;13/05/2016;25/11/2018
1525258;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;10/10/2018;25/11/2018
1419618;CITROEN;C4 PICASSO;C;DIESEL;25/02/2016;25/11/2018
1443742;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;13/12/2016;25/11/2018
1438066;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;05/10/2016;25/11/2018
1507856;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;16/03/2018;25/11/2018
1444732;CITROEN;CITROEN C-ELYSEE;C;DIESEL;22/12/2016;25/11/2018
1444453;CITROEN;CITROEN C-ELYSEE;C;DIESEL;20/12/2016;25/11/2018
1380352;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;08/05/2015;25/11/2018
1399791;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;12/01/2016;25/11/2018
1381886;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;26/05/2015;25/11/2018
1384741;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;29/06/2015;25/11/2018
1420522;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;04/03/2016;25/11/2018
1374976;CITROEN;CITROEN C-ELYSEE eco-glv;ECO;GLP / GASOLINA;05/03/2015;25/11/2018
